PARAMETER1,PARAMTER2,PARAMETER3,Site_ID
529432.6448,482478.9711,1575767.717,SIteid5478
946711.0509,640063.0039,1740445.6709999999,SIteid5484
624195.6196,420760.91,1694091.8159999999,SIteid5485
459263.6229,339973.2348,916261.62,SIteid5486
1956112.7619999999,1130801.162,7262515.529,SIteid5490
630911.6106,421367.4712,2317349.238,SIteid5491
423753.9343,287649.9916,1042916.2540000001,SIteid5493
570632.978,398607.8694,1568549.9780000001,SIteid5496
477749.8979,453797.0034,925400.1065,SIteid5497
200609.5212,164025.1685,1162865.394,SIteid5505
275530.1902,236446.1011,723914.8182,SIteid5509
433269.8213,355829.4577,1606714.782,SIteid5510
503686.8752,418818.9157,1099971.166,SIteid5511
868402.4356,626120.6345,3100202.93,SIteid5515
706271.1687,554843.3109,1926725.7040000001,SIteid5520
568097.3246,490070.4718,1619037.764,SIteid5521
696550.3786,559806.5723,1818796.666,SIteid5523
269124.9126,199872.3819,473778.7774,SIteid5524
279187.0996,227997.4299,505112.331,SIteid5525
445233.1014,307716.1005,1305436.967,SIteid5526
494202.8741,336112.2319,741866.1613,SIteid5528
1198087.172,873197.2208,3273964.474,SIteid5530
430827.3449,383464.4811,1755969.711,SIteid5531
834573.9592,507365.7523,2686077.611,SIteid5532
299491.7748,270371.7275,770267.4035,SIteid5538
641755.5641,465009.0165,1809081.545,SIteid5539
786780.6071,638571.0633,1411244.87,SIteid5541
776203.8817,589022.2145,1944490.914,SIteid5542
428383.6834,273847.8857,929413.8393,SIteid5543
1582165.541,1174418.487,4108649.409,SIteid5544
227161.3047,202284.4806,814204.1999,SIteid5545
488995.3143,453543.1511,1679084.115,SIteid5548
705619.9439,593128.8972,2050665.737,SIteid5550
1165713.183,972227.7741,3790421.0519999997,SIteid5552
1102009.943,737631.9332,2860139.5689999997,SIteid5556
1021946.1259999999,753360.6972,2944895.5330000003,SIteid5557
538670.8839,486818.8162,1924209.852,SIteid5558
928493.2791,693629.1498,2504889.597,SIteid5569
176076.819,110627.039,106701.9037,SIteid5571
1892449.945,1548279.616,5207538.1,SIteid5572
724775.5237,669429.2115,1787259.458,SIteid5578
261744.4912,217157.3738,1332866.65,SIteid5582
763518.6888,527277.6747,1655534.679,SIteid5584
166436.1964,152708.6516,385077.0575,SIteid5585
641109.0412,344533.2908,1906552.6169999999,SIteid5592
675735.3203,420220.3245,1604639.231,SIteid5593
450895.0191,405781.6935,1942591.8769999999,SIteid5594
381674.2393,365889.7791,1301063.017,SIteid5596
689624.2239,683296.6691,2024671.89,SIteid5599
1031036.183,906937.9688,5210436.78,SIteid5600
1116483.3090000001,835320.7657,5244591.343,SIteid5602
479751.2527,397833.7889,1465544.1809999999,SIteid5605
1915089.335,1305291.6670000001,5209442.772,SIteid5606
719942.5946,599959.3052,2107335.411,SIteid5609
577312.9146,381666.7024,1692286.375,SIteid5618
591776.7388,554000.3879,1831648.721,SIteid5623
1028021.797,752671.6628,3697692.5810000002,SIteid5624
619206.4391,469898.4122,1622131.2019999998,SIteid5625
307168.1947,303414.5195,792499.5759999999,SIteid5626
671329.0116,422095.0434,1487381.812,SIteid5628
915514.0028,658746.7326,2537464.137,SIteid5636
511768.0057,378626.08700000006,974628.6584,SIteid5637
487093.6881,446976.0989,1002667.9940000001,SIteid5638
1123593.017,1054399.96,3523320.248,SIteid5639
490997.4863,422042.599,901840.7818,SIteid5640
509483.3028,351643.0243,815766.4717,SIteid5643
443096.8425,385262.5523,1212768.447,SIteid5645
994258.7957,977271.7456,3654139.247,SIteid5647
735247.6313,616553.7834,2211823.332,SIteid5648
